id,name,code,parent_id,level_id,createdAt,updatedAt
1,MOH,,,1,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
3,Acholi,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
4,Ankole,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
5,Bugisu,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
6,Bukedi,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
7,Bunyoro,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
8,Busoga,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
9,Kampala,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
10,Karamoja,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
11,Kigezi,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
12,Lango,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
13,North Buganda,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
14,South Buganda,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
15,Teso,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
16,Tooro,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
17,West Nile,,1,2,2025-08-30 15:05:07.925 +0300,2025-08-30 15:05:07.925 +0300
18,Agago District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
19,Amuru District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
20,Gulu City,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
21,Gulu District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
22,Kitgum District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
23,Lamwo District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
