id,uid,name,shortname,longtitude,latitude,nhfrid,subcounty_uid,subcounty,district_uid,district,region,level,ownership,authority,status,facility_id,subcounty_id,district_id,region_id,licensed,address,contact_personemail,contact_personmobile,contact_personname,contact_persontitle,date_opened,bed_capacity,services,user_district_id,owner_id,createdAt,updatedAt
4437,RM8vegpr7j7,Paimol Health Centre III,Paimol HC III,33.432854,3.123609,8008029820663,dNQaOVGkCI1,Lai Mutu Town Council,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34694,1740,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.087 +0300,2025-09-07 15:14:43.087 +0300
4181,IOuCAfFo6J4,Toroma Health Centre II,Toroma HC II,33.27052,3.091677,8008029200045,OCsQzKO3T3S,Kuywee Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34804,437,18,3,,,,,,,,,[],,1,2025-09-07 15:14:41.760 +0300,2025-09-07 15:14:41.760 +0300
4465,h0zUXZyCyJL,Ligiligi Health Centre II,Ligiligi HC II,33.427425,2.750191,8008028052255,Lf5vTc3Z42M,Laperebong Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34726,1762,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.196 +0300,2025-09-07 15:14:43.196 +0300
4543,aNM5X9P50rl,Lira Palwo Health Centre III,Lira Palwo HC III,33.16055,2.786579,8008024323270,l7uazBwTNHf,Lira Palwo Town Council,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34671,2017,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.474 +0300,2025-09-07 15:14:43.474 +0300
7735,ASNnd0et215,Kokil Health Centre II,Kokil HC II,33.4236,3.061405,8008024178599,zzl9JUHMQY1,Paimol Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34571,1016,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.375 +0300,2025-09-07 15:14:55.375 +0300
2678,y8q1syPdfdK,Dr. Ambrosoli Memorial Hospital Kalongo,Kalongo Ambrosoli Memorial Hospital,33.37204,3.04341,8008027551851,RXwynIETRuW,Kalongo Town Council,ztIyIYAzFKp,Agago District,Acholi,General Hospital,PNFP,UCMB,Functional,34536,2048,18,3,,,,,,,,,[],,1,2025-09-07 15:14:36.319 +0300,2025-09-07 15:14:36.319 +0300
4541,aGfndLfPcOz,Abilonino Health Centre II,Abilonino HC II,33.438763,2.879034,8008024030400,WwUCbB1nYLS,Lira Kato Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34718,800,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.467 +0300,2025-09-07 15:14:43.467 +0300
117,QaoM6583QZW,Otumpili Health Centre II,Otumpili HC II,33.388626,2.825156,8008026815472,vAPl9BMv3lt,Ajali Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34618,1518,18,3,,,,,,,,,[],,1,2025-09-07 15:14:27.051 +0300,2025-09-07 15:14:27.051 +0300
4466,CYCMFtMgnfI,Orina Health Centre II,Orina HC II,33.423225,2.712824,8008022430118,Lf5vTc3Z42M,Laperebong Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34794,1762,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.199 +0300,2025-09-07 15:14:43.199 +0300
4544,ldVk8civU6m,St. Janani Health Centre II,St. Janani HC II,33.166428,2.782428,8008022369893,l7uazBwTNHf,Lira Palwo Town Council,ztIyIYAzFKp,Agago District,Acholi,HC II,PNFP,UPMB,Functional,34668,2017,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.477 +0300,2025-09-07 15:14:43.477 +0300
